DM_1,mine association rule efficiently developed parallel mining algorithm fpm distributed sharenothing parallel system data partitioned across processor fpm enhancement fdm algorithm previously proposed distributed mining association rule cheung et al fpm requires fewer round message exchange fdm hence better response time parallel environment algorithm experimentally found outperform cd representative parallel algorithm goal agrawal srikant efficiency fpm attributed incorporation two powerful candidate set pruning technique distributed global pruning two technique sensitive two data distribution characteristic data skewness workload balance metric based entropy proposed two characteristic pruning effective skewness balance high order increase efficiency fpm developed method partition database resulting partition high balance skewness experiment shown empirically partitioning algorithm achieve aim well particular result consistently better random partitioning moreover partitioning algorithm incur little overhead partitioning algorithm fpm together mine association rule database efficiently ,3
DM_2,discovering sequential pattern important problem data mining host application domain including medicine telecommunication world wide web conventional sequential pattern mining system provide user restricted mechanism based minimum support specifying pattern interest consequence pattern mining process typically characterized lack focus user often end paying inordinate computational cost inundated overwhelming number useless result propose regular expression re flexible constraint specification tool enables usercontrolled focus incorporated pattern mining process develop family novel algorithm termed spiritsequential pattern mining regular expression constraint mining frequent sequential pattern also satisfy userspecified constraint distinguishing factor among proposed scheme degree constraint enforced prune search space pattern computation solution provide valuable insight tradeoff arise constraint subscribe nice property like anti monotonicity integrated mining process ,3
DM_3,discovering frequent itemsets key problem important data mining application discovery association rule strong rule episode minimal key typical algorithm solving problem operate bottomup breadthfirst search direction computation start frequent itemsets minimum length frequent itemsets continues maximal length frequent itemsets found execution every frequent itemset explicitly considered algorithm perform well maximal frequent itemsets short however performance drastically deteriorates maximal frequent itemsets long algorithm combine bottomup topdown search primary search direction still bottomup restricted search also conducted topdown direction search used maintaining updating data structure maximum frequent candidate set used prune early candidate would normally encountered bottomup search important characteristic algorithm require explicit examination every frequent itemset evaluate performance algorithm wellknown synthetic benchmark database reallife census stock market database ,3
DM_4,navigation web user leave many record activity huge amount data useful source knowledge sophisticated data mining process needed knowledge extracted understood used propose web usage mining wum system called suggest dynamically generates suggested link web page potential interest suggest designed efficiently integrate wum process ordinary web server functionality provide useful information make user web navigation easier optimize web server performance two quantity introduced order give measure quality wum system ,3
DM_5,describes latest experiment application data mining analyzing severe weather impact national airspace system na performance show importance data preparation feature extraction two type data weather air traffic data used experiment weather data represented binary image severeweather day air traffic represented set severeweather region set weather trafficrelated feature set severeweather region day first converted vector attribute value classification regression clustering applied data initial result encouraging later result improved impressive meaningful classification rule generated cluster generated weathertraffic day clearly correlated na performance ,3
DM_6,company seek automate process finding decision support requires significantly different data management approach daytoday operation online transaction processing application simply automate data processing sufficient handle daytoday operation considers sevenstep process combine online analytical processing data cube analysis data mining streamline decision making company multidimensional database ,3
DM_7,quest increased microprocessor speed inexorable microprocessor speed pas two gigahertz semiconductor manufacturer must wring available microprocessor speed existing process mean possible mean include designed experimentation analysis tightly controlled process many approaching physical limit question engineer must face confronted optimizing operation process operation begin factor operation influence response process ? defined optimization project completed available opportunity optimization exhausted ? one major product microelectronics manufacturing data huge quantity data generated every production lot processed fabrication facility however data observational would say happenstance nature wrought problem classical statistical analysis experimental design procedure seek avoid data mining loosely defined activity extracting information observational database wherein goal discover hidden fact one promising data mining technique binary recursive partitioning technique implemented classification regression tree software salford system explore effective cartspl reg software tool sift vast observational data generated production microprocessor search speed optimization opportunity procedure cartspl reg optimize microprocessor speed explained demonstrated several case study ,3
DM_8,order meet high expectation yield target quick identification root cause yield loss essential decision tree shown powerful data mining tool integrated circuit yield improvement several case study yield improvement effort real product presented ,3
DM_9,undersea robot used environment immediate supervision human operator becomes ever difficult potentially dangerous necessitates evolution toward autonomy robot time maintaining capability provide reduced level supervision transmission sensor data human observer u navy coastal system station cs developing batterypowered robotic crawler mine countermeasure purpose shallow water machine carry variety sensor designed detect presence underwater object classify either manmade natural well camera system capture image object benthos inc collaborating cs provide acoustic communication acomms command control transmission image sensor data university california san diego developing waveletbased image compression support telemetry experimental result demonstrate compression ratio better provide acceptable visual representation human operator modem aboard crawler provides robust acomms rate bit per second kilometer range baud rate transmit spl time pixel greyscale image compressed second near term modem provide image second existing capability acoustic transmission relayed via multiple modem many kilometer via benthos gateway buoy operator via spread spectrum radio cell phone link current effort cs focus evolution crawler autonomy occasional supervision supplied via acomms link sensor integrated vehicle enable detect locate image object mine sea floor crawling robot distinct advantage operating plane target therefore exploit target feature used countermine approach ,3
DM_10,fuzzy adaptive filter faf applied satellite packet data system demodulation approach much simpler existing demodulator achieves better performance db gain existing scheme linear interpolation decision feedback algorithm break limitation number unique word training sequence nonuniform pattern unique word parameter determined via mining extracting knowledge based unique word ,3
